iter,outer_iter,t_granted,cosim_dt,tx_tds_step,state,updated,P_total,Q_total,Vmag,Vang_rad,fault_idx,fault_bus,fault_active,fault_rf,fault_xf,fault_bus_vmag,fault_bus_vang_rad,event_line_idx,event_bus1,event_bus2,event_line_status,event_bus1_vmag,event_bus1_vang_rad,event_bus2_vmag,event_bus2_vang_rad,event_bus_angle_diff_deg,postfault_line_idx,postfault_bus1,postfault_bus2,postfault_line_status,delta_min_deg,delta_max_deg,delta_spread_deg,delta_min_idx,delta_min_bus,delta_max_idx,delta_max_bus,omega_min_pu,omega_max_pu,omega_max_dev,omega_min_idx,omega_min_bus,omega_max_idx,omega_max_bus,vf_min_pu,vf_max_pu,vf_min_idx,vf_min_bus,vf_max_idx,vf_max_bus,omega_GENROU_1_pu,omega_GENROU_1_bus,omega_GENROU_2_pu,omega_GENROU_2_bus,omega_GENROU_3_pu,omega_GENROU_3_bus,omega_GENROU_4_pu,omega_GENROU_4_bus,omega_GENROU_5_pu,omega_GENROU_5_bus
29,1,0.066,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703697857995,-0.17738824964720945,Fault_Interface,14,0.0,0.0,0.3,1.0086703697857995,-0.17738824964720945,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503714740064,1.9941457708420318,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
30,1,0.069,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.008670369106803,-0.17738825033113345,Fault_Interface,14,0.0,0.0,0.3,1.008670369106803,-0.17738825033113345,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503757763604,1.9941458145685953,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
31,1,0.07200000000000001,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.008670368459921,-0.17738825098913655,Fault_Interface,14,0.0,0.0,0.3,1.008670368459921,-0.17738825098913655,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503798446976,1.9941458568992756,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
32,1,0.07500000000000001,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703678444924,-0.17738825162249275,Fault_Interface,14,0.0,0.0,0.3,1.0086703678444924,-0.17738825162249275,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503836890378,1.9941458977178546,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
33,1,0.078,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703672593826,-0.17738825223228627,Fault_Interface,14,0.0,0.0,0.3,1.0086703672593826,-0.17738825223228627,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503873366334,1.9941459369477577,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
34,1,0.081,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.00867036670315,-0.17738825281939913,Fault_Interface,14,0.0,0.0,0.3,1.00867036670315,-0.17738825281939913,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503907952414,1.9941459745459704,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
35,1,0.084,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.008670366175029,-0.17738825338468306,Fault_Interface,14,0.0,0.0,0.3,1.008670366175029,-0.17738825338468306,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503940758155,1.9941460104973125,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
36,1,0.08700000000000001,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703656740712,-0.17738825392902138,Fault_Interface,14,0.0,0.0,0.3,1.0086703656740712,-0.17738825392902138,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503971894362,1.994146044809147,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
37,1,0.09000000000000001,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703651992392,-0.17738825445322817,Fault_Interface,14,0.0,0.0,0.3,1.0086703651992392,-0.17738825445322817,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504001462163,1.9941460775066102,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
38,1,0.093,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.008670364749642,-0.17738825495808327,Fault_Interface,14,0.0,0.0,0.3,1.008670364749642,-0.17738825495808327,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504029552684,1.994146108628415,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
39,1,0.096,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.008670364324284,-0.17738825544428685,Fault_Interface,14,0.0,0.0,0.3,1.008670364324284,-0.17738825544428685,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504056249345,1.994146138223213,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
40,1,0.099,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703639222523,-0.17738825591233973,Fault_Interface,14,0.0,0.0,0.3,1.0086703639222523,-0.17738825591233973,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450408162737,1.9941461663465112,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
41,1,0.10200000000000001,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703635430463,-0.17738825636293554,Fault_Interface,14,0.0,0.0,0.3,1.0086703635430463,-0.17738825636293554,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504105755564,1.9941461930581124,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
42,1,0.10500000000000001,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703631852256,-0.17738825679702033,Fault_Interface,14,0.0,0.0,0.3,1.0086703631852256,-0.17738825679702033,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504126658155,1.9941462184200338,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
43,1,0.10800000000000001,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703628490532,-0.1773882572148917,Fault_Interface,14,0.0,0.0,0.3,1.0086703628490532,-0.1773882572148917,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450414868791,1.9941462424948388,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
44,1,0.111,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703625326023,-0.17738825761713678,Fault_Interface,14,0.0,0.0,0.3,1.0086703625326023,-0.17738825761713678,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450416799803,1.9941462653443736,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
45,1,0.114,0.003,0.03,NEXT_STEP,0,0.03584632230645051,0.01728699146415169,1.0086703622360724,-0.17738825800422522,Fault_Interface,14,0.0,0.0,0.3,1.0086703622360724,-0.17738825800422522,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504188251252,1.994146287028764,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
47,2,0.117,0.003,0.03,NEXT_STEP,0,0.03584632230552315,0.017286991463554734,1.0086703619582338,-0.17738825837655878,Fault_Interface,14,0.0,0.0,0.3,1.0086703619582338,-0.17738825837655878,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450420596192,1.9941463076057697,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
49,2,0.12000000000000001,0.003,0.03,NEXT_STEP,1,0.035846322306445355,0.017286991464155875,1.0086703616981307,-0.17738825873505687,Fault_Interface,14,0.0,0.0,0.3,1.0086703616981307,-0.17738825873505687,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504224445588,1.9941463271302697,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
50,1,0.12300000000000001,0.003,0.03,NEXT_STEP,0,0.035846322306445355,0.017286991464155875,1.0086703614724812,-0.1773882590796947,Fault_Interface,14,0.0,0.0,0.3,1.0086703614724812,-0.1773882590796947,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450424057418,1.994146345653643,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
51,1,0.126,0.003,0.03,NEXT_STEP,0,0.035846322306445355,0.017286991464155875,1.00867036126257,-0.17738825941119118,Fault_Interface,14,0.0,0.0,0.3,1.00867036126257,-0.17738825941119118,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504257487882,1.9941463632237255,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
52,1,0.129,0.003,0.03,NEXT_STEP,0,0.035846322306445355,0.017286991464155875,1.0086703610670011,-0.17738825972981534,Fault_Interface,14,0.0,0.0,0.3,1.0086703610670011,-0.17738825972981534,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450427211374,1.9941463798838475,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
53,1,0.132,0.003,0.03,NEXT_STEP,0,0.035846322306445355,0.017286991464155875,1.0086703608863743,-0.17738826003591732,Fault_Interface,14,0.0,0.0,0.3,1.0086703608863743,-0.17738826003591732,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504287267893,1.9941463956733676,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
54,1,0.135,0.003,0.03,NEXT_STEP,0,0.035846322306445355,0.017286991464155875,1.0086703607193714,-0.17738826033006133,Fault_Interface,14,0.0,0.0,0.3,1.0086703607193714,-0.17738826033006133,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450430029287,1.9941464106273241,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
55,1,0.138,0.003,0.03,NEXT_STEP,0,0.035846322306445355,0.017286991464155875,1.0086703605491578,-0.17738826061270874,Fault_Interface,14,0.0,0.0,0.3,1.0086703605491578,-0.17738826061270874,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.48545043140077,1.994146424777767,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
56,1,0.14100000000000001,0.003,0.03,NEXT_STEP,0,0.035846322306445355,0.017286991464155875,1.0086703604090543,-0.17738826088397086,Fault_Interface,14,0.0,0.0,0.3,1.0086703604090543,-0.17738826088397086,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504325540827,1.9941464381539578,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
57,1,0.14400000000000002,0.003,0.03,NEXT_STEP,0,0.035846322306445355,0.017286991464155875,1.0086703602811469,-0.17738826114411962,Fault_Interface,14,0.0,0.0,0.3,1.0086703602811469,-0.17738826114411962,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504335762466,1.9941464507843227,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
58,1,0.14700000000000002,0.003,0.03,NEXT_STEP,0,0.035846322306445355,0.017286991464155875,1.0086703601640856,-0.17738826139367506,Fault_Interface,14,0.0,0.0,0.3,1.0086703601640856,-0.17738826139367506,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854504347303459,1.9941464626719674,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
